Weltbevölkerung 2023;
Weltbevölkerung von 1950 bis 2023 (in Milliarden);
;
1950;2,50
1951;2,54
1952;2,59
1953;2,64
1954;2,69
1955;2,75
1956;2,80
1957;2,86
1958;2,92
1959;2,97
1960;3,02
1961;3,07
1962;3,13
1963;3,20
1964;3,27
1965;3,34
1966;3,41
1967;3,48
1968;3,55
1969;3,62
1970;3,70
1971;3,77
1972;3,84
1973;3,92
1974;4
1975;4,07
1976;4,14
1977;4,22
1978;4,29
1979;4,37
1980;4,44
1981;4,52
1982;4,61
1983;4,69
1984;4,78
1985;4,86
1986;4,95
1987;5,04
1988;5,13
1989;5,22
1990;5,32
1991;5,41
1992;5,49
1993;5,58
1994;5,66
1995;5,74
1996;5,83
1997;5,91
1998;5,99
1999;6,07
2000;6,15
2001;6,23
2002;6,31
2003;6,39
2004;6,48
2005;6,56
2006;6,64
2007;6,73
2008;6,81
2009;6,90
2010;6,99
2011;7,07
2012;7,16
2013;7,25
2014;7,34
2015;7,43
2016;7,51
2017;7,60
2018;7,68
2019;7,76
2020;7,84
2021;7,91
2022 ¹;7,98
2023 ¹;8,01
;
Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.;
